customer_id,customer_name,email,registration_date,customer_type
C00141,Samesh Biswas,tarakkaul@example.com,2024-02-27,REGULAR
C00142,Aradhana Dhillon,zashilghosh@example.org,2026-05-04,VIP
C00143,Karan Aurora,wazir95@example.org,2024-04-08,REGULAR
C00144,Charles Date,hvora@example.net,2023-10-19,REGULAR
C00145,Saumya Pathak,sethyahvi@,2026-02-22,REGULAR
C00146,Charvi Shanker,bhatvarenya@example.com,2025-05-05,PREMIUM
C00147,Vritti Sawhney,buchekanta@example.net,2024-02-28,REGULAR
C00148,Jonathan Maharaj,lakshmi98example.com,2025-06-16,PREMIUM
C00149,Hardik Contractor,qushiseth@example.org,2025-04-15,REGULAR
C00150,Sudiksha Rastogi,uchandran@example.com,2024-11-09,REGULAR
C00151,Kavya Dua,fbhavsar@example.org,2023-12-04,REGULAR
C00152,Gopal Pradhan,darpannarayan@example.net,2024-01-18,PREMIUM
C00153,Irya Sampath,manidevika@example.com,2023-12-20,PREMIUM
C00154,Mohammed Subramaniam,hritikpalla@example.net,2025-02-02,REGULAR
C00155,Arya Kara,mbal@example.net,2024-08-31,REGULAR
C00156,Pranit Mahajan,harinakshi50@example.org,2024-02-20,PREMIUM
C00157,Ekaraj Dhar,chandtanveer@example.com,2025-04-25,REGULAR
C00158,Harita Dugar,devika59@example.net,2023-11-21,VIP
C00159,Nachiket Dugar,bumbanita@example.com,2026-05-06,VIP
C00160,Vedika Sathe,nmahajan@example.net,2024-01-05,PREMIUM
C00161,Qushi Choudhry,vidhi84@example.org,2024-06-19,PREMIUM
C00162,Christopher Amble,charvikakar@example.org,2024-08-12,VIP
C00163,Falak Dar,tankqushi@example.org,2024-01-29,PREMIUM
C00164,Victor Tella,ekbal60@example.com,2023-08-11,REGULAR
C00165,Faras Munshi,travel@example.net,2025-04-21,REGULAR
C00166,Ishwar Ravel,naironveer@example.net,2025-06-26,PREMIUM
C00167,Gaurang Sarkar,kohlirajata@example.net,2025-03-26,PREMIUM
C00168,Meghana Mukherjee,timothy52@example.org,2025-09-13,REGULAR
C00169,Yashvi Hari,indali23@example.org,2024-02-25,REGULAR
C00170,Rudra Ghose,faqidgoel@example.net,2025-08-18,REGULAR
C00171,Saumya Naidu,matthew71@example.com,2025-05-29,PREMIUM
C00172,Anvi Bhalla,yashica14@example.com,2025-06-14,REGULAR
C00173,Dakshesh Pillay,faraj19@example.net,2025-09-07,REGULAR
C00174,Turvi Barman,uguha@example.net,2025-07-20,REGULAR
C00175,David Seshadri,ozafrado@example.net,2026-04-11,REGULAR
C00176,Balveer Kota,hsarna@example.net,2026-02-14,REGULAR
C00177,Januja Pradhan,lila65@example.net,2026-01-26,REGULAR
C00178,Gaurika Bhatti,girindra86@example.com,2024-08-07,REGULAR
C00179,Gauri Bumb,inayamukherjee@example.net,2026-05-06,REGULAR
C00180,Kai Chad,krisha52@example.net,2026-06-11,REGULAR
C00181,Pallavi Trivedi,andrew54@example.org,2024-06-09,REGULAR
C00182,Vedika Handa,lakshdubey@example.org,2024-10-14,PREMIUM
C00183,Yashica Zacharia,nayarkaran@,2025-02-17,REGULAR
C00184,Nicholas Golla,rakshabassi@example.com,2025-01-28,PREMIUM
C00185,Sachi Mane,ikaur@example.org,2024-11-04,REGULAR
C00186,Rishi Pillai,xshenoy@example.com,2025-02-25,REGULAR
C00187,Neel Iyengar,zashilben@example.net,2025-07-28,REGULAR
C00188,Harshil Varty,manefiyaz@example.org,2024-09-08,PREMIUM
C00189,Yochana Din,ochand@example.com,2025-01-06,REGULAR
C00190,Oeshi Bera,xthakkar@example.org,2025-03-03,REGULAR
C00191,Kavya Kapur,nagarhardik@example.net,2026-04-17,REGULAR
C00192,Madhav Devan,mangaturmi@example.net,2024-02-13,VIP
C00193,Saumya Ahluwalia,bahlaahana@example.org,2024-03-01,VIP
C00194,Indrajit Mani,charvidara@example.org,2024-07-17,REGULAR
C00195,Tanvi Bhatnagar,tataamol@example.net,2025-09-20,REGULAR
C00196,Maanas Manne,nagarwal@example.com,2024-07-20,REGULAR
C00197,Rachit Chada,ekansh88@example.net,2025-09-08,REGULAR
C00198,Madhavi Singhal,ramkashvi@example.com,2023-08-07,REGULAR
C00199,Ekansh Pai,hemangnatarajan@example.org,2023-09-19,REGULAR
C00200,Hamsini Gill,osrinivas@example.org,2024-02-07,PREMIUM
C00201,Tanvi Bansal,saksham03@example.org,2024-11-14,REGULAR
C00202,Yutika Rao,ckulkarni@example.net,2024-05-04,REGULAR
C00203,Ishanvi Batta,anjali15@example.com,2025-03-25,PREMIUM
C00204,Libni Nori,watikatank@example.com,2025-09-26,REGULAR
C00205,Fitan Samra,sanipranit@example.net,2024-10-11,REGULAR
C00206,Harshil Buch,chakrika47@example.net,2025-05-04,REGULAR
C00207,Sachi Panchal,ubasak@example.com,2026-02-22,PREMIUM
C00208,Anvi Bhandari,ravijanuja@example.net,2026-06-02,REGULAR
C00209,Azaan Dhar,ibanerjee@example.org,2024-07-13,REGULAR
C00210,Janaki Rajagopal,dubeshivani@example.com,2025-02-09,REGULAR
C00211,Faraj Devan,mitali54@example.org,2024-01-05,REGULAR
C00212,Quincy Tata,qdalal@,2025-06-05,PREMIUM
C00213,Bhavika Swaminathan,jasondeshmukh@example.org,2025-06-14,REGULAR
C00214,Sai Chahal,idika18@example.net,2024-10-06,VIP
C00215,Nakul Ghosh,yashoda31@example.org,2024-02-13,REGULAR
C00216,Wakeeta Bal,jyoti78@example.org,2026-02-17,PREMIUM
C00217,Dominic More,hsrinivas@example.com,2025-04-09,PREMIUM
C00218,Jeremiah Nadig,senguptaunnati@example.net,2025-09-23,VIP
C00219,Kabir Gopal,rachitathakkar@example.org,2024-01-21,VIP
C00220,Daksha Gala,ekantikakar@example.com,2025-09-26,REGULAR
C00221,Farhan Krishna,anvidass@example.net,2024-10-25,REGULAR
C00222,Yadavi Ganguly,onveernazareth@example.net,2023-09-14,REGULAR
C00223,Finn Bath,shivansh96@example.net,2026-03-31,PREMIUM
C00224,Widisha Mann,vasudha36@example.com,2025-06-16,REGULAR
C00225,Darpan Dugar,esagar@example.com,2024-05-24,REGULAR
C00226,Maanas Munshi,hemani62@example.com,2025-09-19,REGULAR
C00227,Eiravati Khurana,rdas@example.com,2024-08-01,REGULAR
C00228,Gunbir Bedi,leena96@example.org,2024-03-17,REGULAR
C00229,Dhriti Gupta,wishivarma@example.com,2025-08-25,REGULAR
C00230,Widisha Bajaj,ramaswamyyashasvi@example.com,2024-07-20,REGULAR
C00231,Ira Bava,mandawarda@example.net,2026-04-24,REGULAR
C00232,Bhavika Yadav,chokshiraagini@example.org,2024-08-26,REGULAR
C00233,Neha Pau,rattancharan@example.net,2025-12-01,REGULAR
C00234,Janani Mani,rajuyamini@example.com,2025-11-13,REGULAR
C00235,Jagat Dave,rameshkashvi@example.com,2025-11-25,VIP
C00236,Maanas Issac,ctella@example.org,2023-09-11,REGULAR
C00237,Gauri Som,mdixit@example.net,2024-02-15,PREMIUM
C00238,Eiravati Gaba,lmistry@example.com,2025-09-08,REGULAR
C00239,Chandani Soman,pillaygarima@example.net,2023-12-30,PREMIUM
C00240,Darika Bala,planka@example.net,2025-12-26,VIP
C00241,Charan Srinivasan,lajitadivan@example.net,2024-07-23,PREMIUM
C00242,Imaran Halder,sastrydipta@example.com,2024-03-04,REGULAR
C00243,Samar Roy,tbhatia@example.org,2025-09-25,REGULAR
C00244,Ekta Sridhar,lmurthy@example.com,2025-10-18,REGULAR
C00245,Irya Lalla,phanda@example.com,2025-11-25,REGULAR
C00246,Umang Mishra,sarthak75@example.com,2025-01-04,REGULAR
C00247,Bhavna Dara,wrana@example.org,2024-10-06,REGULAR
C00248,Bhavna Brar,riya47@example.org,2024-05-21,REGULAR
C00249,Anita Devan,khatrixavier@example.org,2026-05-18,REGULAR
C00250,Viraj Ben,sachdevganga@example.net,2025-07-15,REGULAR
C00251,Laksh Ahluwalia,niharikasoni@example.com,2026-04-18,REGULAR
C00252,Bhavna Nagi,daniel19@example.org,2025-10-21,REGULAR
C00253,Parth Sahni,balhaarranganathan@example.com,2024-04-27,REGULAR
C00254,Baljiwan Andra,hredhaan54@example.com,2026-04-04,REGULAR
C00255,Krish Thaman,mmahajan@example.org,2024-12-07,PREMIUM
C00256,Tara Kurian,akshaynazareth@example.com,2025-12-11,REGULAR
C00257,Parth Ravi,uvarma@,2025-03-26,VIP
C00258,Qasim Dey,pnaik@example.org,2024-08-21,REGULAR
C00259,Warinder Sekhon,forum49@example.net,2025-12-18,REGULAR
C00260,Advika Parsa,daviddani@example.com,2024-10-31,VIP
C00261,Nidra Thakkar,jacob45@example.net,2024-06-20,REGULAR
C00262,Kiaan Sridhar,suhaniprakash@example.com,2025-11-12,REGULAR
C00263,Tejas Kota,vorasanya@example.net,2025-01-25,REGULAR
C00264,Isaac Bhatia,masongala@example.com,2025-09-28,REGULAR
C00265,Jackson Jha,gchand@example.com,2023-10-07,REGULAR
C00266,Kevin Varghese,kshan@example.org,2025-11-27,PREMIUM
C00267,Darika Bains,akumar@example.net,2024-06-15,PREMIUM
C00268,Chakradev Sampath,devansh80@example.org,2025-07-15,REGULAR
C00269,Bhavini Rege,krishnasalvi@example.com,2025-02-26,REGULAR
C00270,Krishna Prashad,zachariakiaan@example.net,2025-01-03,VIP
C00271,Pranav Yogi,iwadhwa@example.net,2024-06-22,PREMIUM
C00272,Arin Misra,isamra@example.com,2024-07-03,REGULAR
C00273,Triveni Pal,anyagulati@example.net,2024-01-04,REGULAR
C00274,Oni Babu,samuelbhavsar@example.org,2026-01-20,PREMIUM
C00275,Sanya Bava,chaitanyaratti@example.com,2024-07-11,REGULAR
C00276,Daksh Dey,vivaan95@example.net,2026-01-26,PREMIUM
C00277,Warjas Mittal,timothysachdev@example.com,2024-09-12,REGULAR
C00278,Parth Sane,wbatta@example.net,2026-05-20,REGULAR
C00279,Eiravati Saha,tdixit@example.com,2024-04-23,PREMIUM
C00280,Wridesh Kar,maanas70@example.net,2025-04-14,REGULAR
C00281,Krish Rama,aadhyajani@example.com,2026-04-12,REGULAR
C00282,Shivani Prabhakar,wasonrayaan@example.org,2024-09-02,PREMIUM
C00283,Balveer Bora,teerthsrinivas@example.org,2024-12-11,PREMIUM
C00284,Alexander Kakar,jacobsrinivas@example.org,2026-02-05,REGULAR
C00285,Mekhala Khatri,barkha67@example.net,2026-04-15,REGULAR
C00286,Darika Lal,yochana77@example.org,2025-07-11,REGULAR
C00287,Samar Prabhakar,odika09@example.org,2024-02-24,REGULAR
C00288,Advika Sahni,michael35@example.org,2025-02-22,PREMIUM
C00289,Xalak Nazareth,vrinda77@example.org,2025-01-10,PREMIUM
C00290,Logan Suresh,danielviswanathan@example.org,2023-11-05,REGULAR
C00291,Abeer Sachar,vihaanbir@example.net,2024-03-03,REGULAR
C00292,Tejas Tiwari,dprakash@example.net,2026-03-29,PREMIUM
C00293,Vinaya Babu,walinisha@example.org,2023-08-07,REGULAR
C00294,Bhavini Badal,ggola@example.org,2025-10-04,REGULAR
C00295,Wridesh Handa,irya46@example.org,2025-02-11,PREMIUM
C00296,Tripti Kohli,charitabuch@example.net,2026-04-17,REGULAR
C00297,Girik Ravi,jpurohit@example.com,2023-10-08,REGULAR
C00298,Onveer Butala,psaraf@example.com,2025-12-08,REGULAR
C00299,Brijesh Karpe,vaishnavimadan@example.org,2023-11-05,REGULAR
C00300,Bachittar Gola,amol39@example.org,2025-03-22,REGULAR
C00301,Chandani Gaba,lopazachariah@example.com,2025-02-28,REGULAR
C00302,Farhan Tella,chatresh16@example.org,2023-11-08,REGULAR
C00303,Mekhala Narain,mahajanshravya@example.com,2024-07-01,REGULAR
C00304,Keya Sankaran,lajitachada@example.net,2024-10-13,REGULAR
C00305,Ethan Butala,mitesh62@example.net,2025-03-09,PREMIUM
C00306,Jalsa Chhabra,ahluwaliadarika@example.com,2025-01-22,PREMIUM
C00307,Harsh Deo,groverraagini@example.com,2025-11-24,REGULAR
C00308,Harshil Bal,pandyagirik@example.net,2026-01-27,REGULAR
C00309,Lekha Arora,odika61@example.net,2025-11-28,REGULAR
C00310,Omkaar Rai,liamluthra@example.com,2024-09-01,REGULAR
C00311,Madhav Bhatnagar,radhikamajumdar@example.com,2024-10-20,REGULAR
C00312,Faraj Patel,yatin79@example.net,2024-05-11,VIP
C00313,Hredhaan Deshmukh,abeer65@example.net,2025-02-22,REGULAR
C00314,Ria Natt,tdeshpande@example.com,2026-02-04,REGULAR
C00315,Varenya Murthy,mitalinagar@example.com,2026-03-22,REGULAR
C00316,Xavier Nanda,ymand@,2025-01-30,REGULAR
C00317,Ryan Gole,shenoyshaurya@example.com,2024-10-07,REGULAR
C00318,Nilima Tata,chavvikhurana@example.com,2026-05-01,REGULAR
C00319,Pallavi Purohit,senvarenya@example.net,2025-03-26,REGULAR
C00320,Balhaar Parsa,choprayuvraj@example.net,2026-05-10,REGULAR
C00321,Ojas Basu,ynarula@example.com,2023-12-24,REGULAR
C00322,Guneet Kuruvilla,yashvivenkataraman@example.net,2025-12-30,REGULAR
C00323,Sanaya Prasad,xsheth@example.net,2026-01-12,REGULAR
C00324,Hemani Bakshi,scheema@example.com,2023-11-23,REGULAR
C00325,Lucky Pall,hemal73@example.net,2025-08-01,REGULAR
C00326,Vamakshi Chatterjee,usethi@example.org,2024-10-21,REGULAR
C00327,Ishwar Bajaj,ikbal23@example.net,2024-04-09,REGULAR
C00328,Ganga Sandhu,zkata@example.com,2026-03-17,REGULAR
C00329,Quincy Sankaran,vbalakrishnan@example.net,2024-05-14,REGULAR
C00330,Pushti Ramachandran,kalasamesh@example.com,2023-10-18,REGULAR
C00331,Rachit Pau,ronith71@example.com,2026-05-19,REGULAR
C00332,Dhriti Rama,wcomar@example.com,2025-06-23,PREMIUM
C00333,Chameli Chad,dhritidalal@example.org,2024-10-29,REGULAR
C00334,Qadim Prakash,yastirama@example.com,2026-01-24,REGULAR
C00335,Leela Sampath,vidhiyogi@example.net,2026-04-10,VIP
C00336,Ojas Suri,logan25@example.com,2026-03-01,REGULAR
C00337,Jagrati Andra,mdeshpande@example.com,2025-12-01,REGULAR
C00338,Nilima Swamy,fsawhney@example.org,2023-11-18,REGULAR
C00339,Thomas Master,maharajumangexample.net,2024-10-03,REGULAR
C00340,Tanvi Tandon,comaramrita@example.net,2025-02-01,REGULAR
C00341,Ridhi Kamdar,vchaudry@example.net,2024-07-31,PREMIUM
C00342,Bachittar Sengupta,ijaya17@example.org,2024-07-15,REGULAR
C00343,Indali Sangha,liamjhaveri@example.org,2023-10-13,PREMIUM
C00344,Avni Yohannan,ekiyamaster@example.com,2025-12-18,REGULAR
C00345,Yoshita Chandran,nishabhargava@example.com,2026-04-26,REGULAR
C00346,Kevin Krish,ekantakota@example.net,2025-03-14,REGULAR
C00347,Lucky Luthra,cprashad@example.org,2026-03-23,PREMIUM
C00348,Neha Varma,jyoti77@example.com,2026-01-02,REGULAR
C00349,Girik Shanker,dev86@example.org,2025-05-10,PREMIUM
C00350,Warda Loyal,bhanumati58@example.net,2024-01-31,REGULAR
C00351,Hemal Bava,chaudharytripti@example.org,2024-01-21,REGULAR
C00352,Ridhi Shan,sanghasamaksh@example.net,2024-02-02,VIP
C00353,Nathan Mahal,patelzashil@example.org,2025-02-09,REGULAR
C00354,Charles Randhawa,vivaan61@example.net,2023-12-07,REGULAR
C00355,Tanay Sood,deoupkaar@example.net,2026-06-03,REGULAR
C00356,Aditya Anand,jai62@example.com,2023-10-31,REGULAR
C00357,Leela Chakraborty,chauhandhriti@example.com,2024-10-19,PREMIUM
C00358,Lavanya Deol,ekapadwali@example.net,2023-07-26,VIP
C00359,Ria Panchal,maxsabharwal@example.net,2025-05-30,REGULAR
C00360,Gabriel Chaudhry,jatinrajagopalan@example.com,2025-05-10,REGULAR
C00361,Logan Kota,frado38@example.net,2026-01-30,REGULAR
C00362,Avi Mitra,zarnaupadhyay@example.org,2025-03-12,VIP
C00363,Chatura Khatri,hraju@example.org,2025-08-27,REGULAR
C00364,Advik Patel,kevin69@example.com,2025-01-30,REGULAR
C00365,Urishilla Bora,birakshay@example.com,2024-06-12,REGULAR
C00366,Darpan Rao,yachana66@example.net,2025-03-28,REGULAR
C00367,Michael Mall,mukherjeefarhan@example.net,2024-05-23,REGULAR
C00368,Eta Raman,mukherjeerajeshri@example.net,2024-07-17,REGULAR
C00369,Yash Chadha,ddalia@example.net,2026-02-12,PREMIUM
C00370,Dayamai Gill,aroralaksh@example.net,2023-07-30,REGULAR
C00371,Watika Palan,ojas52@example.net,2024-09-02,REGULAR
C00372,Ayushman Nayak,hmagar@example.org,2024-08-24,REGULAR
C00373,Watika Shah,christopher79@example.org,2025-02-03,VIP
C00374,Aadhya Chauhan,kariyashodhara@example.org,2023-09-19,REGULAR
C00375,Yash Batra,ypatla@example.org,2024-04-16,REGULAR
C00376,Oni Kapur,yuvraj65@example.com,2023-11-10,PREMIUM
C00377,Jagdish Thakkar,golaudant@example.net,2023-09-22,PREMIUM
C00378,Ekapad Shroff,deepa51@example.net,2025-06-21,REGULAR
C00379,Jyoti Iyer,daksha93@example.com,2025-02-04,REGULAR
C00380,Rohan Korpal,abeerrout@example.org,2024-07-08,REGULAR
C00381,Aditya Nayak,puridamyanti@example.org,2024-05-26,REGULAR
C00382,Oni Swamy,dharati@example.org,2023-09-19,REGULAR
C00383,Zinal Sachar,tara19@example.org,2025-09-05,REGULAR
C00384,Meera Borde,sarankalpit@example.org,2024-10-08,VIP
C00385,Divya Ramaswamy,eesha74@example.org,2023-11-06,REGULAR
C00386,Laban Chopra,hiteshgala@example.com,2025-07-05,PREMIUM
C00387,Niharika Dara,sarthak74@example.com,2024-08-27,PREMIUM
